R                       Z                        T
0.14453518                0.0013065326             308.9724134631914
0.14453518                0.0014070352             308.973651703971
0.14453518                0.0015075377             308.97498104574805
0.14453518                0.0016080402             308.97640123832616
0.14453518                0.0017085427             308.97791373938543
0.14453518                0.0018090452             308.97952074835933
0.14453518                0.0019095477             308.9812195042702
0.14453518                0.0020100502             308.98301000711797
0.14453518                0.0021105527             308.9848944903701
0.14453518                0.0022110553             308.9868739453349
0.14453518                0.0023115578             308.9889423069282
0.14453518                0.00241206               308.9911046263518
0.14453518                0.0025125628             308.9933631498279
0.14453518                0.0026130653             308.9957145355094
0.14453518                0.0027135678             308.998158248129
0.14453518                0.0028140703             309.0006952378543
0.14453518                0.0029145728             309.0033291338016
0.14453518                0.0030150753             309.00605685803527
0.14453518                0.0031155779             309.0088784134094
0.14453518                0.0032160804             309.0117955993215
0.14453518                0.0033165826             309.0148098678666
0.14453518                0.0034170854             309.0179158790081
0.14453518                0.0035175877             309.02111739911425
0.14453518                0.0036180904             309.0244178100434
0.14453518                0.0037185927             309.02781380720654
0.14453518                0.0038190954             309.0313045204783
0.14453518                0.0039195977             309.0348903567177
0.14453518                0.0040201005             309.0385763424847
0.14453518                0.0041206027             309.04235912820127
0.14453518                0.0042211055             309.04623875903417
0.14453518                0.0043216078             309.05021662874003
0.14453518                0.0044221105             309.0542946548335
0.14453518                0.004522613              309.0584680745177
0.14453518                0.0046231155             309.0627394085398
0.14453518                0.004723618              309.0671132202269
0.14453518                0.00482412               309.0715863483029
0.14453518                0.004924623              309.0761575161003
0.14453518                0.0050251256             309.0808266608205
0.14453518                0.005125628              309.0855998791295
0.14453518                0.0052261306             309.0904739032427
0.14453518                0.005326633              309.09544864157465
0.14453518                0.0054271356             309.1005253209347
0.14453518                0.005527638              309.1057060621929
0.14453518                0.0056281406             309.1109867907238
0.14453518                0.005728643              309.1163686618508
0.14453518                0.0058291457             309.1218575048649
0.14453518                0.005929648              309.12745054081313
0.14453518                0.0060301507             309.13314580600826
0.14453518                0.006130653              309.1389432551158
0.14453518                0.0062311557             309.1448488606566
0.14453518                0.006331658              309.1508605835272
0.14453518                0.0064321607             309.156977859746
0.14453518                0.006532663              309.16320175716766
0.14453518                0.0066331653             309.1695345133657
0.14453518                0.0067336685             309.17597291384527
0.14453518                0.006834171              309.18251651817314
0.14453518                0.006934673              309.18917227178576
0.14453518                0.0070351753             309.1959384813167
0.14453518                0.0071356785             309.20281210895143
0.14453518                0.007236181              309.209793045583
0.14453518                0.007336683              309.2168871673333
0.14453518                0.0074371854             309.2240937652377
0.14453518                0.0075376886             309.231411679723
0.14453518                0.007638191              309.2388420014254
0.14453518                0.007738693              309.24638676907705
0.14453518                0.007839195              309.2540434917286
0.14453518                0.007939698              309.2618112182431
0.14453518                0.008040201              309.2696971859785
0.14453518                0.008140704              309.27770028292053
0.14453518                0.0082412055             309.2858168022188
0.14453518                0.008341708              309.29404680134655
0.14453518                0.008442211              309.3023973718517
0.14453518                0.008542714              309.31086673457594
0.14453518                0.0086432155             309.31945403686035
0.14453518                0.008743718              309.3281612060497
0.14453518                0.008844221              309.33698948341487
0.14453518                0.008944724              309.34593617246685
0.14453518                0.009045226              309.355002236883
0.14453518                0.009145728              309.36419269298
0.14453518                0.009246231              309.37350689990205
0.14453518                0.009346734              309.3829417001399
0.14453518                0.009447236              309.39249909397614
0.14453518                0.009547738              309.40218383420455
0.14453518                0.00964824               309.41199527927944
0.14453518                0.009748744              309.42193362823133
0.14453518                0.009849246              309.43199850451083
0.14453518                0.009949748              309.4421901418709
0.14453518                0.010050251              309.45251016625656
0.14453518                0.010150754              309.4629598384635
0.14453518                0.010251256              309.4735419262104
0.14453518                0.010351759              309.4842546325275
0.14453518                0.010452261              309.49509774423285
0.14453518                0.010552764              309.50607147710554
0.14453518                0.010653267              309.51718129077153
0.14453518                0.0107537685             309.5284265886757
0.14453518                0.010854271              309.53980709588
0.14453518                0.010954773              309.55132424177856
0.14453518                0.011055276              309.56297776985303
0.14453518                0.0111557795             309.57476290669376
0.14453518                0.011256282              309.5866917381706
0.14453518                0.011356784              309.598764339776
0.14453518                0.011457286              309.61097498651384
0.14453518                0.011557789              309.62332366460976
0.14453518                0.011658291              309.6358126526282
0.14453518                0.011758794              309.6484495244194
0.14453518                0.011859296              309.6612309994856
0.14453518                0.011959798              309.6741572028429
0.14453518                0.012060301              309.6872316228931
0.14453518                0.012160804              309.70045434267195
0.14453518                0.012261307              309.71381744002827
0.14453518                0.012361809              309.7273328966139
0.14453518                0.0124623105             309.7410037447681
0.14453518                0.012562813              309.7548239659607
0.14453518                0.012663316              309.7687924453095
0.14453518                0.01276382               309.7829113977984
0.14453518                0.0128643215             309.79718951112335
0.14453518                0.012964824              309.8116236876505
0.14453518                0.013065326              309.82621371311313
0.14453518                0.013165829              309.84096300813485
0.14453518                0.0132663315             309.855872321928
0.14453518                0.013366835              309.8709333367625
0.14453518                0.013467337              309.88615732026847
0.14453518                0.013567839              309.90154945198174
0.14453518                0.013668342              309.91710293036283
0.14453518                0.013768844              309.93281609478703
0.14453518                0.013869347              309.9486905068557
0.14453518                0.013969849              309.96473711904076
0.14453518                0.014070351              309.980952047867
0.14453518                0.014170853              309.99733529333446
0.14453518                0.014271357              310.01388989393166
0.14453518                0.01437186               310.0306177385334
0.14453518                0.014472362              310.0475099600658
0.14453518                0.0145728635             310.0645761439608
0.14453518                0.014673366              310.08182442910476
0.14453518                0.014773869              310.0992475580532
0.14453518                0.014874372              310.1168433206133
0.14453518                0.0149748735             310.13461172484995
0.14453518                0.015075377              310.15256682285883
0.14453518                0.015175879              310.17070347529125
0.14453518                0.015276382              310.18902213194184
0.14453518                0.0153768845             310.20752481733086
0.14453518                0.015477386              310.22621491265903
0.14453518                0.015577889              310.2450843430956
0.14453518                0.01567839               310.2641389813425
0.14453518                0.015778894              310.28339098654146
0.14453518                0.015879396              310.3028323787605
0.14453518                0.0159799                310.3224606713139
0.14453518                0.016080402              310.342275083007
0.14453518                0.016180903              310.3622891176166
0.14453518                0.016281407              310.3825009651466
0.14453518                0.01638191               310.402909017357
0.14453518                0.016482413              310.42351529068264
0.14453518                0.016582914              310.4443240596233
0.14453518                0.016683416              310.46532815134384
0.14453518                0.01678392               310.48653014699823
0.14453518                0.016884422              310.5079443427378
0.14453518                0.016984925              310.5295649981467
0.14453518                0.017085427              310.55138688373063
0.14453518                0.01718593               310.5734104337474
0.14453518                0.017286431              310.5956470811465
0.14453518                0.017386934              310.61809817031434
0.14453518                0.017487437              310.64076123642997
0.14453518                0.01758794               310.66363755459
0.14453518                0.017688442              310.6867328554995
0.14453518                0.017788945              310.71004111565395
0.14453518                0.017889448              310.733558986391
0.14453518                0.01798995               310.75730589399257
0.14453518                0.018090451              310.7812766347775
0.14453518                0.018190954              310.8054651951705
0.14453518                0.018291457              310.82987110030905
0.14453518                0.01839196               310.85450503371203
0.14453518                0.018492462              310.87937044634276
0.14453518                0.018592965              310.904464527467
0.14453518                0.018693468              310.92978771495837
0.14453518                0.01879397               310.9553470269469
0.14453518                0.018894471              310.9811378340397
0.14453518                0.018994974              311.00715104051574
0.14453518                0.019095477              311.03341081695555
0.14453518                0.01919598               311.05991369861795
0.14453518                0.019296482              311.08665038468877
0.14453518                0.019396985              311.1136214072307
0.14453518                0.019497488              311.1408356179815
0.14453518                0.01959799               311.1682997893097
0.14453518                0.019698491              311.19600926370225
0.14453518                0.019798994              311.22396493223266
0.14453518                0.019899497              311.2521748071455
0.14453518                0.02                     311.2806368112186
0.14470854                0                        308.94525408189645
0.14470854                1.0050251E-4             308.9453020911814
0.14470854                2.0100502E-4             308.94543591322815
0.14470854                3.015075E-4              308.9456599989623
0.14470854                4.0201005E-4             308.9459743486606
0.14470854                5.0251256E-4             308.94637896201954
0.14470854                6.03015E-4               308.9468730409572
0.14470854                7.035176E-4              308.9474565869865
